CochleariaID	AthalianaID	orthologyEvidence	Athaliana_description
g9632.t1	AT5G66520.1	1-2-1 orthogroup	Note=Tetratricopeptide repeat (TPR)-like superfamily protein: computational_description=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_class=4: conf_rating=***: symbol=CREF7: curator_summary=Encodes a pentatricopeptide repeat protein involved in chloroplast mRNA editing. Mutants display defects in C-U editing of ndhB.: 
g9633.t1	AT5G66560.1	1-2-1 orthogroup	Note=Phototropic-responsive NPH3 family protein: conf_class=2: computational_description=Phototropic-responsive NPH3 family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9634.t1	AT5G66600.9	1-2-1 orthogroup	Note=Protein of unknown function, DUF547: conf_class=1: computational_description=electron transporter, putative (Protein of unknown function, DUF547): conf_rating=*****: symbol=None: curator_summary=None: conf_class=2: conf_rating=****: conf_class=6: conf_rating=**: 
g9635.t1	AT5G66595.1	1-2-1 orthogroup	Note=None: symbol=None: computational_description=hypothetical protein: curator_summary=: 
g9636.t2	AT5G66620.1	within orthogroup BLAST	Note=DA1-related protein 6: symbol=DAR6: full_name=DA1-related protein 6: computational_description=DA1-related protein 6: conf_class=6: conf_rating=**: curator_summary=None: 
g9637.t1	AT5G66631.1	1-2-1 orthogroup	Note=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_class=1: computational_description=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9638.t1	AT5G66650.1	no orthogroup BLAST	Note=Protein of unknown function (DUF607): computational_description=calcium uniporter (DUF607): conf_class=2: conf_rating=****: symbol=cMCU: curator_summary=Chloroplast localized mitochondrial calcium uniporter.: 
g9639.t1	AT5G26310.1	within orthogroup RBH	Note=UDP-Glycosyltransferase superfamily protein: curator_summary=UGT72E3 is an UDPG:coniferyl alcohol glucosyltransferase which glucosylates sinapyl- and coniferyl alcohol as well as sinapic acid. The enzyme is thought to be involved in lignin- and phenylpropanoid metabolism. A knockdown mutant line (72E3KD) was obtained using RNAi silencing. No reduction in coniferyl alcohol 4-<i>O</i>-glucoside and sinapyl alcohol 4-<i>O</i>-glucoside was detected in this line compared to wildtype, in contrast with the knockdown line constructed for UGT72E2 displayed a twofold reduction in the these phenylpropanoid 4-<i>O</i>-glucosides. Can influence the kinetics of lignin deposition by regulating monolignol flow to the cell wall as well as the potential of this compartment to incorporate monomers into the growing lignin polymer.: symbol=UGT72E3: computational_description=UDP-Glycosyltransferase superfamily protein: conf_class=1: conf_rating=*****: 
g9640.t1	AT5G66720.1	1-2-1 orthogroup	Note=Protein phosphatase 2C family protein: conf_class=2: computational_description=Protein phosphatase 2C family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9641.t1	AT5G66730.1	within orthogroup RBH	Note=C2H2-like zinc finger protein: symbol=IDD1: full_name=INDETERMINATE DOMAIN 1: computational_description=C2H2-like zinc finger protein: conf_class=2: conf_rating=****: curator_summary=None: 
g9642.t1	AT4G29090.1	no orthogroup BLAST	Note=Ribonuclease H-like superfamily protein: conf_class=1: computational_description=Ribonuclease H-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9643.t2	AT5G66790.1	1-2-1 orthogroup	Note=Protein kinase superfamily protein: conf_class=4: computational_description=Protein kinase superfamily protein: conf_rating=***: symbol=None: curator_summary=None: 
g9644.t1	AT5G66800.1	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=membrane-associated kinase regulator-like protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9645.t1	AT1G66145.1	1-2-1 orthogroup	Note=CLAVATA3/ESR-RELATED 18: curator_summary=Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon.: symbol=CLE18: full_name=CLAVATA3/ESR-RELATED 18: computational_description=CLAVATA3/ESR-RELATED 18: conf_class=4: conf_rating=***: 
g9646.t1	AT5G66810.1	1-2-1 orthogroup	Note=None: conf_class=4: computational_description=Ran-binding protein in the microtubule-organising centre protein: conf_rating=***: symbol=None: curator_summary=None: 
g9647.t1	AT5G66815.1	1-2-1 orthogroup	Note=None: computational_description=transmembrane protein: conf_class=1: conf_rating=*****: symbol=CEP5: curator_summary=Counteracts auxin effects by stabilizing AUX/IAA transcriptional repressors. Impact on abiotic stress processes.: 
g9648.t1	AT3G30300.2	no orthogroup BLAST	Note=O-fucosyltransferase family protein: conf_class=3: computational_description=O-fucosyltransferase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9649.t1	AT5G66840.1	1-2-1 orthogroup	Note=SAP domain-containing protein: conf_class=5: computational_description=SAP domain-containing protein: conf_rating=***: symbol=None: curator_summary=None: 
g9650.t1	AT1G67020.1	no orthogroup BLAST	Note=None: conf_class=8: computational_description=transmembrane protein: conf_rating=*: symbol=None: curator_summary=None: 
g9651.t1	AT5G66840.1	no orthogroup BLAST	Note=SAP domain-containing protein: conf_class=5: computational_description=SAP domain-containing protein: conf_rating=***: symbol=None: curator_summary=None: 
g9652.t1	AT5G66850.1	1-2-1 orthogroup	Note=mitogen-activated protein kinase kinase kinase 5: curator_summary=Encodes a member of the MEKK subfamily that functions redundantly with MAPKKK3 to activate MPK3/6 downstream of multiple pattern recognition receptors and confer resistance to both bacterial and fungal pathogens.: symbol=MAPKKK5: full_name=mitogen-activated protein kinase kinase kinase 5: computational_description=mitogen-activated protein kinase kinase kinase 5: conf_class=2: conf_rating=****: 
g9653.t1	AT5G66860.1	1-2-1 orthogroup	Note=Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain: conf_class=2: computational_description=Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain-containing protein: conf_rating=****: symbol=bL25my: curator_summary=None: 
g9654.t1	AT5G66870.1	no orthogroup BLAST	Note=ASYMMETRIC LEAVES 2-like 1: curator_summary=Encodes LOB domain protein whose overexpression results in KNOX gene repression. Overexpression also results in plants with hyponastic leaves, downward pointing flowers and reduced apical dominance.  May be involved in the transcriptional regulation of the homeobox gene BP (brevipedicellus) during lateral organ differentiation.  Acts together with AS2 in proximal-distal symmetry determination.: symbol=ASL1: full_name=ASYMMETRIC LEAVES 2-like 1: computational_description=ASYMMETRIC LEAVES 2-like 1: conf_class=2: conf_rating=****: 
g9655.t1	AT5G56170.1	no orthogroup BLAST	Note=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: symbol=LLG1: full_name=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: computational_description=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: conf_class=2: conf_rating=****: curator_summary=None: 
g9656.t1	AT5G66890.1	1-2-1 orthogroup	Note=Leucine-rich repeat (LRR) family protein: computational_description=Leucine-rich repeat (LRR) family protein: conf_class=6: conf_rating=**: symbol=NRG1.3: curator_summary=RPW8 -CNL gene.: 
g9657.t1	AT5G66900.2	within orthogroup BLAST	Note=None: computational_description=Disease resistance protein (CC-NBS-LRR class) family: conf_class=2: conf_rating=****: symbol=NRG1.1: curator_summary=RPW8 -CNL gene is required for signal transduction of TNLs functionally redundant to NRG1.2. Exhibits autoimmunity.: 
g9658.t1	AT5G66900.2	within orthogroup RBH	Note=None: computational_description=Disease resistance protein (CC-NBS-LRR class) family: conf_class=2: conf_rating=****: symbol=NRG1.1: curator_summary=RPW8 -CNL gene is required for signal transduction of TNLs functionally redundant to NRG1.2. Exhibits autoimmunity.: 
g9659.t1	AT5G66920.1	1-2-1 orthogroup	Note=SKU5  similar 17: symbol=sks17: full_name=SKU5  similar 17: computational_description=SKU5 similar 17: conf_class=2: conf_rating=****: curator_summary=None: 
g9660.t1	AT5G66930.3	1-2-1 orthogroup	Note=None: computational_description=meiotically up-regulated protein: conf_class=2: conf_rating=****: symbol=ATG101: curator_summary=None: conf_class=4: conf_rating=***: 
g9661.t1	AT5G66940.1	1-2-1 orthogroup	Note=Dof-type zinc finger DNA-binding family protein: computational_description=Dof-type zinc finger DNA-binding family protein: conf_class=1: conf_rating=*****: symbol=ATDOF5.8: curator_summary=Encodes a nuclear localized DOF-domain binding transcription factor.: 
g9662.t1	AT5G67080.1	within orthogroup RBH	Note=mitogen-activated protein kinase kinase kinase 19: curator_summary=member of MEKK subfamily: symbol=MAPKKK19: full_name=mitogen-activated protein kinase kinase kinase 19: computational_description=mitogen-activated protein kinase kinase kinase 19: conf_class=1: conf_rating=*****: 
g9663.t1	AT5G67110.1	1-2-1 orthogroup	Note=basic helix-loop-helix (bHLH) DNA-binding superfamily protein: curator_summary=encodes a myc/bHLH transcription factor-like  protein.  Gene product is involved in fruit  dehiscence.  Mutant siliques fail to dehisce.: symbol=ALC: full_name=ALCATRAZ: computational_description=basic helix-loop-helix (bHLH) DNA-binding superfamily protein: conf_class=2: conf_rating=****: 
g9664.t1	AT5G67130.1	1-2-1 orthogroup	Note=PLC-like phosphodiesterases superfamily protein: conf_class=2: computational_description=PLC-like phosphodiesterases superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g9665.t1	AT5G67170.1	1-2-1 orthogroup	Note=SEC-C motif-containing protein / OTU-like cysteine protease family protein: conf_class=2: computational_description=SEC-C motif-containing protein / OTU-like cysteine protease family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9666.t1	AT5G67210.1	within orthogroup RBH	Note=Protein of unknown function (DUF579): curator_summary=Encode a DUF579 (domain of unknown function 579) containing protein essential for normal xylan synthesis and deposition in the secondary cell wall.: symbol=IRX15-L: full_name=IRX15-LIKE: computational_description=IRREGULAR XYLEM protein (DUF579): conf_class=1: conf_rating=*****: 
g9667.t1	AT5G67220.1	1-2-1 orthogroup	Note=FMN-linked oxidoreductases superfamily protein: conf_class=1: computational_description=FMN-linked oxidoreductases superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9668.t1	AT5G67250.1	within orthogroup RBH	Note=SKP1/ASK1-interacting protein 2: curator_summary=Encodes an SKP1 interacting partner (SKIP2).Encodes an F-box protein. Based on genetic analysis appears to be functionally redundant with VFB1,2, and 3. When expression of all 4 genes is reduced plants show defects in growth and reduced expression of auxin response genes.: symbol=SKIP2: full_name=SKP1/ASK1-interacting protein 2: computational_description=SKP1/ASK1-interacting protein 2: conf_class=1: conf_rating=*****: 
g9669.t1	AT5G67270.1	1-2-1 orthogroup	Note=end binding protein 1C: curator_summary=encodes a homolog of animal microtubule-end-binding protein. There are two other members of this family. EB1 forms foci at regions where the minus ends of microtubules are gathered during mitosis and early cytokinesis.: symbol=EB1C: full_name=end binding protein 1C: computational_description=end binding protein 1C: conf_class=4: conf_rating=***: 
g9670.t1	AT5G67290.1	1-2-1 orthogroup	Note=FAD-dependent oxidoreductase family protein: conf_class=2: computational_description=FAD-dependent oxidoreductase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9671.t1	AT1G61640.1	no orthogroup BLAST	Note=Protein kinase superfamily protein: conf_class=2: computational_description=Protein kinase superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g9672.t1	AT5G67360.1	1-2-1 orthogroup	Note=Subtilase family protein: curator_summary=Encodes a subtilisin-like serine protease essential for mucilage release from seed coats.: symbol=ARA12: computational_description=Subtilase family protein: conf_class=1: conf_rating=*****: 
g9673.t1	AT2G46570.1	no orthogroup BLAST	Note=laccase 6: curator_summary=putative laccase,  a member of laccase family of genes (with 17 members in Arabidopsis).: symbol=LAC6: full_name=laccase 6: computational_description=laccase 6: conf_class=3: conf_rating=****: 
g9674.t1	AT5G67390.2	no orthogroup BLAST	Note=None: conf_class=2: computational_description=glycosyltransferase-like protein: conf_rating=****: symbol=None: curator_summary=None: 
g9675.t1	AT1G76700.1	no orthogroup BLAST	Note=DNAJ heat shock N-terminal domain-containing protein: conf_class=2: computational_description=DNAJ heat shock N-terminal domain-containing protein: conf_rating=****: symbol=None: curator_summary=None: 
g9676.t1	AT5G41240.1	no orthogroup BLAST	Note=glutathione S-transferase THETA 2: curator_summary=Encodes glutathione transferase belonging to the theta class of GSTs. Naming convention according to Wagner et al. (2002).: symbol=GSTT2: full_name=glutathione S-transferase THETA 2: computational_description=glutathione S-transferase THETA 2: conf_class=2: conf_rating=****: 
g9677.t1	AT2G13770.1	no orthogroup BLAST	Note=None: conf_class=2: computational_description=nuclease: conf_rating=****: symbol=None: curator_summary=None: 
g9678.t1	AT5G56170.1	no orthogroup BLAST	Note=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: symbol=LLG1: full_name=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: computational_description=LORELEI-LIKE-GPI-ANCHORED PROTEIN 1: conf_class=2: conf_rating=****: curator_summary=None: 
g9679.t1	AT3G30739.1	no orthogroup BLAST	Note=None: symbol=None: computational_description=hypothetical protein: curator_summary=: 
g9680.t1	AT5G67400.1	within orthogroup RBH	Note=root hair specific 19: symbol=RHS19: full_name=root hair specific 19: computational_description=root hair specific 19: conf_class=2: conf_rating=****: curator_summary=Class III peroxidase, controls together with PRX44 and PRX01 extensin-mediated cell wall properties during polar expansion of root hair cells.: 
g9681.t1	AT3G49950.1	within orthogroup BLAST	Note=GRAS family transcription factor: conf_class=1: computational_description=GRAS family transcription factor: conf_rating=*****: symbol=None: curator_summary=None: 
g9682.t1	AT5G67530.1	1-2-1 orthogroup	Note=plant U-box 49: symbol=PUB49: full_name=plant U-box 49: computational_description=plant U-box 49: conf_class=2: conf_rating=****: curator_summary=Plant U-box type E3 ubiquitin ligase (PUB).: 
g9683.t1	AT5G67560.1	within orthogroup RBH	Note=ADP-ribosylation factor-like A1D: curator_summary=A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases. Possible pseudogene because it lacks an N-terminal part that is conserved among the other ARL8 proteins. The mRNA is cell-to-cell mobile.: symbol=ARLA1D: full_name=ADP-ribosylation factor-like A1D: computational_description=ADP-ribosylation factor-like A1D: conf_class=2: conf_rating=****: 
g9684.t1	AT5G67590.1	1-2-1 orthogroup	Note=NADH-ubiquinone oxidoreductase-related: curator_summary=Mutant leaves have a reduced capacity for cold acclimation, appear water-soaked, leak electrolytes, and accumulate reactive oxygen species constitutively. Encode a protein with high similarity to the 18-kD Fe-S subunit of complex I (NADH dehydrogenase, EC 1.6.5.3) in the mitochondrial electron transfer chain. The mRNA is cell-to-cell mobile.: symbol=FRO1: full_name=FROSTBITE1: computational_description=NADH-ubiquinone oxidoreductase-like protein: conf_class=2: conf_rating=****: 
g9685.t1	AT5G67620.1	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=DUF4228 domain protein: conf_rating=*****: symbol=None: curator_summary=PADRE protein up-regulated after infection by S. sclerotiorum.: 
g9686.t1	AT5G67630.1	within orthogroup RBH	Note=P-loop containing nucleoside triphosphate hydrolases superfamily protein: computational_description=P-loop containing nucleoside triphosphate hydrolases superfamily protein: conf_class=2: conf_rating=****: symbol=ISE4: curator_summary=None: 
g9687.t1	AT5G65925.1	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=hypothetical protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9688.t1	AT5G65910.1	1-2-1 orthogroup	Note=BSD domain-containing protein: conf_class=1: computational_description=BSD domain-containing protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9689.t1	AT5G65890.3	1-2-1 orthogroup	Note=ACT domain repeat 1: curator_summary=Member of ACT domain containing protein family. ACT domains are amino acid binding domains. Shows strongest expression in flowers and siliques.: symbol=ACR1: full_name=ACT domain repeat 1: computational_description=ACT domain repeat 1: conf_class=1: conf_rating=*****: conf_class=3: conf_rating=****: 
g9690.t1	AT5G65890.3	no orthogroup BLAST	Note=ACT domain repeat 1: curator_summary=Member of ACT domain containing protein family. ACT domains are amino acid binding domains. Shows strongest expression in flowers and siliques.: symbol=ACR1: full_name=ACT domain repeat 1: computational_description=ACT domain repeat 1: conf_class=1: conf_rating=*****: conf_class=3: conf_rating=****: 
g9691.t1	AT5G65860.1	1-2-1 orthogroup	Note=ankyrin repeat family protein: conf_class=1: computational_description=ankyrin repeat family protein: conf_rating=*****: symbol=None: curator_summary=None: conf_class=2: conf_rating=****: 
g9692.t1	AT5G65840.1	1-2-1 orthogroup	Note=Thioredoxin superfamily protein: conf_class=2: computational_description=Thioredoxin superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g9693.t1	AT5G60750.1	1-2-1 orthogroup	Note=CAAX amino terminal protease family protein: curator_summary=Encodes a chloroplast endoproteinase, SNOWY COTYLEDON4 (SCO4), required for photosynthetic acclimation to higher light intensities.: computational_description=CAAX amino terminal protease family protein: conf_class=4: conf_rating=***: symbol=SCO4: 
g9694.t1	AT4G20520.1	no orthogroup BLAST	Note=RNA binding: conf_class=8: computational_description=RNA binding / RNA-directed DNA polymerase: conf_rating=*: symbol=None: curator_summary=None: 
g9695.t1	AT5G42905.1	no orthogroup BLAST	Note=Polynucleotidyl transferase, ribonuclease H-like superfamily protein: conf_class=9: computational_description=Polynucleotidyl transferase, ribonuclease H-like superfamily protein: conf_rating=*: symbol=None: curator_summary=None: 
g9696.t1	AT5G65790.1	no orthogroup BLAST	Note=myb domain protein 68: curator_summary=Encodes a MYB family protein with N-terminal R2R3 DNA-binding domains involved in root development.: symbol=MYB68: full_name=myb domain protein 68: computational_description=myb domain protein 68: conf_class=2: conf_rating=****: 
g9697.t1	AT5G65700.1	within orthogroup RBH	Note=Leucine-rich receptor-like protein kinase family protein: curator_summary=Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function. Very similar to BAM2,with more than 85% a.a. identity. It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function. Anthers of double mutants (bam1bam2) appeared abnormal at a very early stage and lack the endothecium, middle, and tapetum layers. Further analyses revealed that cells interior to the epidermis (in anther tissue) acquire some characteristics of pollen mother cells (PMCs), suggesting defects in cell fate specification. The pollen mother-like cells degenerate before the completion of meiosis, suggesting that these cells are defective. In addition, the BAM1 expression pattern supports both an early role in promoting somatic cell fates and a subsequent function in the PMCs. The mRNA is cell-to-cell mobile.: symbol=BAM1: full_name=BARELY ANY MERISTEM 1: computational_description=Leucine-rich receptor-like protein kinase family protein: conf_class=2: conf_rating=****: conf_class=4: conf_rating=***: 
g9698.t1	AT5G65687.1	1-2-1 orthogroup	Note=Major facilitator superfamily protein: conf_class=2: computational_description=Major facilitator superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g9699.t1	AT5G65683.1	1-2-1 orthogroup	Note=Zinc finger (C3HC4-type RING finger) family protein: symbol=WAVH2: full_name=WAV3 homolog 2: computational_description=Zinc finger (C3HC4-type RING finger) family protein: conf_class=1: conf_rating=*****: curator_summary=None: 
g9700.t1	AT5G65670.1	1-2-1 orthogroup	Note=indole-3-acetic acid inducible 9: curator_summary=auxin (indole-3-acetic acid) induced gene The mRNA is cell-to-cell mobile.: symbol=IAA9: full_name=indole-3-acetic acid inducible 9: computational_description=indole-3-acetic acid inducible 9: conf_class=2: conf_rating=****: 
g9701.t1	AT5G65660.1	1-2-1 orthogroup	Note=hydroxyproline-rich glycoprotein family protein: conf_class=1: computational_description=hydroxyproline-rich glycoprotein family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9702.t1	AT5G65640.1	within orthogroup RBH	Note=beta HLH protein 93: symbol=bHLH093: full_name=beta HLH protein 93: computational_description=beta HLH protein 93: conf_class=2: conf_rating=****: curator_summary=bHLH093/NFL encodes a bHLH transcription factor involved in GA mediated control of flowering time. Mutants are non-flowering in short days and phenotype can be reversed with GA application. Based on the expression of GA biosynthetic genes in the mutant, it likely acts through regulation of GA metabolism. Its expression shows developmental stage and tissue specificity. In short days it is expressed mainly in root tips and SAM, with weak expression in cotyledons throughout development. In LD GUS activity was observed in the hypocotyl and in root tips and SAM throughout the developmental stages.: 
g9703.t1	AT5G65590.1	no orthogroup BLAST	Note=Dof-type zinc finger DNA-binding family protein: curator_summary=Encodes a plant-specific Dof-type transcription factor expressed in maturing guard cells, but not in guard mother cells. It regulates essential processes of stomatal guard cell maturation and functions as a key transcription factor regulating the final stages of guard cell differentiation.: computational_description=Dof-type zinc finger DNA-binding family protein: conf_class=4: conf_rating=***: symbol=SCAP1: 
g9704.t1	AT5G65540.1	1-2-1 orthogroup	Note=None: computational_description=transcription initiation factor TFIID subunit: conf_class=1: conf_rating=*****: symbol=TAFL: curator_summary=None: 
g9705.t1	AT5G15685.1	no orthogroup BLAST	Note=None: symbol=None: computational_description=mutator transposase MUDRA protein: curator_summary=: 
g9706.t1	AT5G65530.1	within orthogroup RBH	Note=Protein kinase superfamily protein: curator_summary=Encodes a protein kinase involved in mediating resistance to fungi and also trichome branch number. Kinase activity is increased by ROP6 which also affects its sub-cellular localization  (becomes localized to the cell periphery_: computational_description=Protein kinase superfamily protein: conf_class=2: conf_rating=****: symbol=AtRLCK VI_A3: 
g9707.t1	AT5G65520.1	1-2-1 orthogroup	Note=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_class=1: computational_description=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9708.t1	AT5G65500.2	1-2-1 orthogroup	Note=None: computational_description=U-box domain-containing protein kinase family protein: conf_class=6: conf_rating=**: symbol=PUB50: curator_summary=Plant U-box type E3 ubiquitin ligase (PUB).: 
g9709.t1	AT5G65495.1	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=hypothetical protein: conf_rating=*****: symbol=None: curator_summary=None: 
g9710.t1	AT5G65490.1	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=suppressor-like protein: conf_rating=****: symbol=None: curator_summary=None: 
g9711.t1	AT5G65480.1	no orthogroup BLAST	Note=None: computational_description=hypothetical protein: conf_class=2: conf_rating=****: symbol=CCI1: curator_summary=CCL1 is induced by WUS and binds to the kinase domains of BAM1 and CLV1. Localizes to lipid rich plasma membrane rafts. Likely to be involved in WUS/CLV signaling pathway.: 
g9712.t1	AT5G65470.1	1-2-1 orthogroup	Note=O-fucosyltransferase family protein: conf_class=2: computational_description=O-fucosyltransferase family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9713.t1	AT5G65450.2	1-2-1 orthogroup	full_name=ubiquitin-specific protease 17: Note=None: curator_summary=Encodes a ubiquitin-specific protease.The mRNA is cell-to-cell mobile.: conf_class=3: symbol=None: computational_description=ubiquitin-specific protease 17: conf_rating=****: 
g9714.t1	AT5G65440.3	1-2-1 orthogroup	Note=None: conf_class=3: computational_description=transmembrane protein: conf_rating=****: symbol=None: curator_summary=None: conf_class=4: conf_rating=***: 
g9715.t2	AT5G65430.3	within orthogroup RBH	Note=general regulatory factor 8: curator_summary=member of 14-3-3 proteins. This protein is reported to interact with the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1: symbol=GRF8: full_name=general regulatory factor 8: computational_description=general regulatory factor 8: conf_class=2: conf_rating=****: conf_class=3: conf_class=4: conf_rating=***: 
g9716.t1	AT5G65410.1	no orthogroup RBH	Note=homeobox protein 25: curator_summary=Encodes ZFHD2, a member of the zinc finger homeodomain transcriptional factor family.Gain of function of ATHB25 (35S and UBQ10 proomoters) and double loss of function of ATHB25 and ATHB22 increases and decreases, respectively, seed longevity. This phenotype is maternal and related to seed coat alterations. Gain of function increases expression of GA3OX2 and GA4 and GA1 levels. Together with REM7 induces the expression of genes controlling shoot stem characteristics by ectopic expression in roots.: symbol=HB25: full_name=homeobox protein 25: computational_description=homeobox protein 25: conf_class=1: conf_rating=*****: 
g9717.t1	AT5G65390.1	1-2-1 orthogroup	Note=arabinogalactan protein 7: symbol=AGP7: full_name=arabinogalactan protein 7: computational_description=arabinogalactan protein 7: conf_class=1: conf_rating=*****: curator_summary=None: 
g9718.t1	AT5G65380.1	within orthogroup RBH	Note=MATE efflux family protein: conf_class=2: computational_description=MATE efflux family protein: conf_rating=****: symbol=None: curator_summary=None: 
g9719.t1	AT5G10390.1	within orthogroup BLAST	Note=Histone superfamily protein: computational_description=Histone superfamily protein: conf_class=1: conf_rating=*****: symbol=HTR13: curator_summary=Histone 3.1: 
